# datt_lite.db - (flat file) database of STB IDs for DATT-Lite, specifically superSling GUI(iTach Remote Keys)script
# latest update: 01/10/2022
# Note: make a backup before editing this file.
#
# The STB ID is the unique ID you will use to communicate with the box via the irk command line.
#        For convenience, the DAC ID can be used for identification purposes, though this is not required.
#        For Cisco STBs, the last 4 digits of the MAC Address can be used, for example.
#        Or you could name the STBs "Sally6412" or "Joe1" / "Joe2" / "Joe3" / etc.
#        As long as the names are unique and alphanumeric (no spaces or punctuation).
#        The STBs are also inventoried on Confluence, where the network IP address of the video encoder is entered:
#        https://confluence.corp.xperi.com/pages/viewpage.action?pageId=303665074
# iTach_IP is the IP Address of the iTach IR Blaster for this STB
# iTach_port is which port (1,2,3) of the iTach is controlling this STB.
# stb_type (more specifically remote control type):
#        1="Charter Motorola"
#        2="Aptiv Cisco"
# Owner/location: comments about where this STB is located.
# 
# The table is PIPE Seperated.
#
# STB_ID|ITACH_IP|ITACH_PORT|STB_TYPE|STB_INFO|STB_IP|ISACTIVE
1|10.177.48.101|1|1|Rack 1-S1-STB1-DCT2500|10.177.48.11|1
2|10.177.48.101|2|1|Rack 1-S1-STB2-DCH6200|10.177.48.12|1
3|10.177.48.101|3|1|Rack 1-S1-STB3-DCX3200|10.177.48.13|1
4|10.177.48.102|1|1|Rack 1-S1-STB4-DCX3510|10.177.48.14|1
5|10.177.48.102|2|1|Rack 1-S2-STB1-Pace Dallas CC|10.177.48.15|1
6|10.177.48.102|3|1|Rack 1-S2-STB2-Pace Tango|10.177.48.16|1
7|10.177.48.103|1|1|Rack 1-S2-STB3-Pace Seattle|10.177.48.17|1
8|10.177.48.103|2|1|Rack 1-S2-STB4-Pace Denali MC|10.177.48.18|1
9|10.177.48.103|3|1|Rack 1-S3-STB1-DCX525e|10.177.48.19|1
10|10.177.48.104|1|1|Rack 1-S3-STB2-DCX3400|10.177.48.20|1
11|10.177.48.104|2|1|Rack 1-S3-STB3-DCT5100|10.177.48.21|1
12|10.177.48.104|3|1|Rack 1-S3-STB4-DCT6412|10.177.48.22|1
13|10.177.48.105|1|1|Rack 1-S4-STB1-DCT6416|10.177.48.23|1
14|10.177.48.105|2|1|Rack 1-S4-STB2-DCH3416|10.177.48.24|1
15|10.177.48.105|3|1|Rack 1-S4-STB3-DCH3200|10.177.48.25|1
16|10.177.48.106|1|1|Rack 1-S4-STB4-DCT2000|10.177.48.26|1
#Rack2
17|10.177.48.107|1|1|Rack 2-S1-STB1-DCT2500|10.177.48.27|1
18|10.177.48.107|2|1|Rack 2-S1-STB2-DCH6200|10.177.48.28|1
19|10.177.48.107|3|1|Rack 2-S1-STB3-DCX3200|10.177.48.29|1
20|10.177.48.108|1|1|Rack 2-S1-STB4-DCX3510|10.177.48.30|1
21|10.177.48.108|2|1|Rack 2-S2-STB1-Pace Dallas CC|10.177.48.31|1
22|10.177.48.108|3|1|Rack 2-S2-STB2-Pace Tango|10.177.48.32|1
23|10.177.48.109|1|1|Rack 2-S2-STB3-Pace Seattle|10.177.48.33|1
24|10.177.48.109|2|1|Rack 2-S2-STB4-Pace Denali MC|10.177.48.34|1
25|10.177.48.109|3|1|Rack 2-S3-STB1-DCX525e|10.177.48.35|1
26|10.177.48.110|1|1|Rack 2-S3-STB2-DCX3400|10.177.48.36|1
27|10.177.48.110|2|1|Rack 2-S3-STB3-DCT5100|10.177.48.37|1
28|10.177.48.110|3|1|Rack 2-S3-STB4-DCT6412|10.177.48.38|1
29|10.177.48.111|1|1|Rack 2-S4-STB1-DCT6416|10.177.48.39|1
30|10.177.48.111|2|1|Rack 2-S4-STB2-DCH3416|10.177.48.40|1
31|10.177.48.111|3|1|Rack 2-S4-STB3-DCH3200|10.177.48.41|1
32|10.177.48.112|1|1|Rack 2-S4-STB4-DCT2000|10.177.48.42|1
#Rack3
33|10.177.48.113|1|1|Rack 3-S1-STB1-DCT2500|10.177.48.43|1
34|10.177.48.113|2|1|Rack 3-S1-STB2-DCH6200|10.177.48.44|1
35|10.177.48.113|3|1|Rack 3-S1-STB3-DCX3200|10.177.48.45|1
36|10.177.48.114|1|1|Rack 3-S1-STB4-DCX3510|10.177.48.46|1
37|10.177.48.114|2|1|Rack 3-S2-STB1-Pace Dallas CC|10.177.48.47|1
38|10.177.48.114|3|1|Rack 3-S2-STB2-Pace Tango|10.177.48.48|1
39|10.177.48.115|1|1|Rack 3-S2-STB3-Pace Seattle|10.177.48.49|1
40|10.177.48.115|2|1|Rack 3-S2-STB4-Pace Denali MC|10.177.48.50|1
41|10.177.48.115|3|1|Rack 3-S3-STB1-DCX525e|10.177.48.51|1
42|10.177.48.116|1|1|Rack 3-S3-STB2-DCX3400|10.177.48.52|1
